name,pctwhite,pctblack,pctapi,pctaian,pcthispanic
,70.9,23.11,0.5,0.89,2.4
,58.97,34.63,0.54,0.94,2.36
,45.75,47.68,0.46,0.82,2.49
,57.95,35.6,0.51,0.87,2.52
,55.19,38.48,0.44,1,2.29
,5.38,0.45,1.41,0.47,92.03
,84.11,10.76,0.54,0.66,2.17
,62.2,31.6,0.49,0.82,2.44
,4.75,0.54,0.57,0.18,93.77
,5.28,0.49,0.6,0.51,92.91
,3.79,0.36,0.6,0.19,94.89
,4.86,0.57,1.02,0.38,92.92
,4.03,0.35,0.38,0.14,94.97
,67.36,25.99,0.6,1.06,2.61
,75.17,18.93,0.61,0.74,2.44
,52.63,38.75,2.44,1.07,2.54
,65.38,28.42,0.56,0.76,2.46
,66.41,27.74,0.48,0.68,2.34
,39.89,53.04,0.39,1.06,2.5
,74.8,15.76,0.9,0.98,5.56
,35.95,16.33,42.22,0.97,1.89
,4.96,0.45,1.17,0.2,92.95
,69.78,23.57,0.57,1.22,2.49
,65.51,28.17,0.49,1.07,2.38
,51.4,42.39,0.47,0.67,2.26
,4.98,0.45,0.96,0.37,92.99
,74.65,19.02,0.54,1.01,2.58
,3.89,0.31,0.93,0.2,94.48
,58.23,34.84,0.56,1.2,2.58
,48.7,44.93,0.46,0.53,2.61
,58.66,35.05,0.45,0.87,2.41
,66.26,24.67,3.03,0.79,2.58
,67.59,26.17,0.54,0.86,2.47
,70.16,22.76,1.23,0.98,2.55
,65.8,28.23,0.51,0.69,2.36
,60.21,32.92,0.51,1.18,2.58
,5.35,0.57,1.43,0.2,92.16
,0.95,0.12,96.45,0.03,0.63
,64.36,29.12,0.53,0.97,2.51
,4.87,0.42,2.08,0.34,91.94
,56.84,36.97,0.44,0.64,2.64
,74.02,19.9,0.56,0.79,2.57
,77.66,15.97,0.67,1.16,2.55
,79.83,14.44,0.56,0.87,2.28
,72.65,21.59,0.64,0.65,2.25
,5.4,0.95,2.04,0.18,91.06
,73.66,20.47,0.53,0.71,2.49
,61.02,32.5,0.48,1.04,2.47
,58.2,35.59,0.45,0.78,2.34
,77.27,16.72,0.61,0.85,2.4
,5.12,0.75,1.01,0.26,92.6
,76.69,17.09,0.58,1.03,2.44
,68.39,25.72,0.47,0.74,2.39
,64.25,30.13,0.42,0.6,2.23
,5.19,0.65,1.19,0.16,92.56
,69.17,24.79,0.54,0.88,2.26
,5.17,0.8,5.19,0.27,87.88
,62.13,31.63,0.5,0.77,2.5
,71.61,22.43,0.49,0.77,2.47
,4.41,0.59,5.58,0.24,88.58
,69.17,24.86,0.48,0.77,2.49
,73.59,20.08,0.57,0.98,2.55
,4.63,0.57,1.18,0.17,93.23
,83.11,11.53,0.58,0.68,2.34
,81.8,12.55,0.57,0.92,2.17
,75.4,18.53,0.54,0.82,2.62
,4.57,0.24,1.4,0.25,93.33
,4.96,0.64,0.67,0.37,93.11
,76.07,17.27,0.54,1.24,2.78
,67.93,26.13,0.5,0.74,2.4
,84.39,10.09,0.66,0.74,2.4
